category,name,description,showroom,warehouse,source_row
Construction Materials,PVC Tee Reducer,"PVC Tee Reducer 5""",0.0,0.0,92
Construction Materials,PVC Tee Reducer Wye,"PVC Tee Reducer Wye 5""",0.0,0.0,93
Construction Materials,PVC trap #2,,0.0,0.0,94
Construction Materials,"PVC Tube Pipe - 1""","1 length) (PVC Tube Pipe - 1"" (1 length)",0.0,0.0,95
Construction Materials,"PVC Tube Pipe - 2""","1 length) (PVC Tube Pipe - 2"" (1 length)",0.0,0.0,96
Construction Materials,"PVC Tube Pipe - 3""","1 length) (PVC Tube Pipe - 3"" (1 length)",0.0,0.0,97
Construction Materials,PVC Tube Pipe - 3/4,1 length) (PVC Tube Pipe - 3/4 (1 length),0.0,0.0,98
Construction Materials,"PVC Tube Pipe - 6""","1 length) (PVC Tube Pipe - 6"" (1 length)",0.0,0.0,99
Construction Materials,"PVC Tube Pipe Elbow - 3""","45°) (PVC Tube Pipe Elbow - 3"" (45°)",0.0,0.0,100
Construction Materials,"PVC Tube Pipe Elbow - 3""","90°) (PVC Tube Pipe Elbow - 3"" (90°)",0.0,0.0,101
Construction Materials,"PVC Tube Pipe Elbow - 3/4""","45° (PVC Tube Pipe Elbow - 3/4"" (45°)",0.0,0.0,102
Construction Materials,PVC Tube Pipe Fittings Wye 45°-,"PVC Tube Pipe Fittings Wye 45°- 3"" (Y')",0.0,0.0,103
Construction Materials,PVC Tube Pipe Fittings Wye45°-2,"PVC Tube Pipe Fittings Wye 45°- 2"" (Y')",0.0,0.0,104
Construction Materials,PVC Tube Pipe Fittings Wye45°-4,"PVC Tube Pipe Fittings Wye 45°- 4"" (Y')",0.0,0.0,105
Construction Materials,PVC Utility Box,Orange) ROYU (PVC Utility Box (Orange) ROYU,0.0,0.0,106
Construction Materials,PVC Wye #2,,0.0,0.0,107
Construction Materials,Roller Guide,,0.0,0.0,108
Construction Materials,Rubber Insulation 1 1/8 x 3/4,,0.0,0.0,109
Construction Materials,Saddle Clamp 1x1/2,,0.0,0.0,110
Construction Materials,Sand paper,,0.0,0.0,111
Construction Materials,Savoy Piping Tube SPT-30,,0.0,0.0,112
Construction Materials,Sealant ABC 300ml,,0.0,0.0,113
Construction Materials,Signage,Build up w/ Cladding) (Signage (Build up w/ Cladding Background),0.0,0.0,114
Construction Materials,Signage Double Face,,0.0,0.0,115
Construction Materials,Silicon Clear Tube,,0.0,0.0,116
